,company_permalink,funding_round_type,raised_amount_usd,category_list,status,country_code,English Langauge
82,bookmyshow,venture,25.0,Entertainment|Entertainment Industry|Ticketing,operating,IND,No
83,bookmyshow,venture,18.0,Entertainment|Entertainment Industry|Ticketing,operating,IND,No
84,box8,venture,3.5,Food Processing,operating,IND,No
85,bti-payments,venture,22.4,Curated Web,operating,IND,No
86,burrp,venture,2.0,Curated Web|Local,operating,IND,No
87,cafe-coffee-day,venture,20.0,Coffee|Specialty Foods,operating,IND,No
88,cafe-coffee-day,venture,51.0,Coffee|Specialty Foods,operating,IND,No
89,canvera-digital-technologies,venture,6.5,Software,operating,IND,No
90,canvera-digital-technologies,venture,0.7,Software,operating,IND,No
91,canvera-digital-technologies,venture,0.873,Software,operating,IND,No
92,canvera-digital-technologies,venture,2.2,Software,operating,IND,No
93,canvera-digital-technologies,venture,0.24,Software,operating,IND,No
94,capital-float,venture,13.0,Financial Services|Small and Medium Businesses,operating,IND,No
95,captronic-systems,venture,3.318,Manufacturing,operating,IND,No
96,capturesolar-energy,venture,125.0,Energy|Environmental Innovation|Renewable Energies|Solar,operating,IND,No
97,caratlane,venture,31.0,E-Commerce|Jewelry,operating,IND,No
98,caratlane,venture,6.0,E-Commerce|Jewelry,operating,IND,No
99,caratlane,venture,15.0,E-Commerce|Jewelry,operating,IND,No
100,caravan,venture,1.282633,Home Decor|Product Search|Retail,operating,IND,No
101,caravan,venture,0.482,Home Decor|Product Search|Retail,operating,IND,No
102,cardback,venture,0.17,Android|Apps|Credit Cards|Discounts|iPhone|Location Based Services|Loyalty Programs|Mobile,operating,IND,No
103,cardekho,venture,50.0,Automotive|Cars|Online Shopping,operating,IND,No
104,cardekho,venture,15.0,Automotive|Cars|Online Shopping,operating,IND,No
105,cartrade,venture,30.2,Automotive|Cars|Motors,operating,IND,No
106,carwale,venture,7.0,E-Commerce,acquired,IND,No
107,casa-grande,venture,9.5,Real Estate,operating,IND,No
108,cashkaro,venture,3.8,E-Commerce,operating,IND,No
109,cbazaar,venture,3.5,E-Commerce|Wholesale,operating,IND,No
110,ce-info-systems,venture,25.0,Software,operating,IND,No
111,ce-info-systems,venture,9.0,Software,operating,IND,No
112,cedar-books,venture,1.0,Knowledge Management|Online Shopping|Writers,operating,IND,No
113,celon-laboratories,venture,15.8,Biotechnology,operating,IND,No
114,centre-for-sight,venture,5.0,Biotechnology,operating,IND,No
115,ceon-solutions-pvt,venture,0.688,Education,operating,IND,No
116,cesc,venture,80.0,Utilities,operating,IND,No
117,chai-point,venture,10.0,Food Processing,operating,IND,No
118,chakpak-media,venture,5.0,News,operating,IND,No
119,channel-mentor-it,venture,0.286509,Engineering Firms|Real Time|Software,operating,IND,No
120,chef-s-basket,venture,6.0,Restaurants,operating,IND,No
121,chillr-2,venture,6.0,Apps|Banking|Mobile Payments,operating,IND,No
122,circuitsutra-technologies,venture,0.198,Semiconductors,operating,IND,No
123,citrus,venture,1.8,E-Commerce|Mobile Payments|Payments,operating,IND,No
124,citrus,venture,5.5,E-Commerce|Mobile Payments|Payments,operating,IND,No
125,citrus,venture,25.0,E-Commerce|Mobile Payments|Payments,operating,IND,No
126,classteacher-learning-systems,venture,15.0,EdTech|Education,operating,IND,No
127,cleartrip,venture,8.0,Travel,operating,IND,No
128,cleartrip,venture,40.0,Travel,operating,IND,No
129,cleartrip,venture,3.0,Travel,operating,IND,No
130,cleartrip,venture,5.4,Travel,operating,IND,No
131,clovia,venture,4.687545,Fashion,operating,IND,No
132,collectabillia-com,venture,7.5,Fashion|Sports,operating,IND,No
133,collectabillia-com,venture,7.5,Fashion|Sports,operating,IND,No
134,collectabillia-com,venture,3.137504,Fashion|Sports,operating,IND,No
135,comat-technologies,venture,6.0,Governments|Health and Insurance,closed,IND,No
136,comat-technologies,venture,15.0,Governments|Health and Insurance,closed,IND,No
137,comat-technologies,venture,4.0,Governments|Health and Insurance,closed,IND,No
138,commonfloor,venture,15.0,Real Estate,operating,IND,No
139,commonfloor,venture,30.0,Real Estate,operating,IND,No
140,commonfloor,venture,10.4,Real Estate,operating,IND,No
141,commonfloor,venture,7.5,Real Estate,operating,IND,No
142,connectm-technology-solutions,venture,4.0,Intellectual Asset Management|M2M|Mobility|Security|Software|Telecommunications,operating,IND,No
143,connectm-technology-solutions,venture,6.0,Intellectual Asset Management|M2M|Mobility|Security|Software|Telecommunications,operating,IND,No
144,conquest,venture,6.0,Startups,operating,IND,No
145,cooptions-technologies,venture,10.0,Software,closed,IND,No
146,core-diagnostics,venture,5.0,Biotechnology|Health Diagnostics,operating,IND,No
147,covacsis,venture,0.45,Big Data Analytics|Enterprise Software|Information Technology|Services,operating,IND,No
148,coverfox-insurance-broking,venture,12.0,Insurance,operating,IND,No
149,craftsvilla,venture,19.0,E-Commerce,operating,IND,No
